LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.0452711507678|0.356308728456|1.90902006626,0.420704871416|0.330736726522|1.84872066975,-0.0226589329541|0.111701726913|1.91346085072,0.498359620571|0.111119449139|1.84256064892,-0.0278575010598|-0.086269184947|1.78280937672,0.461470246315|-0.0733185634017|1.69178497791,-102.0,2,-113.0,2,-143.0,0,-133.0,0
0.0442765280604|0.356374174356|1.91043102741,0.420111358166|0.33059579134|1.8502048254,-0.0222075339407|0.109823405743|1.91438186169,0.514902055264|0.12387239933|1.84253811836,-0.0274884440005|-0.0881658419967|1.78610181808,0.468784540892|-0.071976467967|1.69321012497,-101.0,2,-118.0,2,-144.0,0,-131.0,0
0.0430319681764|0.357209771872|1.91336560249,0.419595986605|0.331785202026|1.85478377342,-0.0221078172326|0.109829492867|1.91623079777,0.536831736565|0.148884803057|1.84253358841,-0.0276988968253|-0.0888002589345|1.78897690773,0.498393684626|-0.0477307364345|1.67865872383,-101.0,2,-127.0,2,-144.0,0,-126.0,0
0.0426227785647|0.35718986392|1.91321957111,0.419090211391|0.332335591316|1.85645365715,-0.0229232963175|0.111306138337|1.9159886837,0.554151952267|0.174243181944|1.84065055847,-0.0283683482558|-0.0884274542332|1.78929746151,0.535893678665|0.0234238374978|1.65088570118,-101.0,2,-134.0,2,-145.0,0,-119.0,0
0.0422686524689|0.357468754053|1.91295671463,0.419341534376|0.334122091532|1.85926628113,-0.0249309577048|0.112521909177|1.91483688354,0.60454916954|0.216284528375|1.79834568501,-0.0295181516558|-0.0883701741695|1.78907525539,0.567000806332|0.111965619028|1.61451840401,-102.0,2,-151.0,2,-145.0,0,-110.0,0
0.0421908348799|0.357710361481|1.91229188442,0.421205669641|0.336573928595|1.86289095879,-0.0278939120471|0.11630294472|1.91333770752,0.601022064686|0.227206513286|1.83397984505,-0.0304144583642|-0.0886042267084|1.78832197189,0.588856875896|0.211077913642|1.59614551067,-103.0,2,-152.0,2,-145.0,0,-97.0,0
0.0421568453312|0.358104646206|1.91164624691,0.423403739929|0.339165538549|1.86430597305,-0.0295302662998|0.118604883552|1.91168045998,0.612714588642|0.230267003179|1.84117746353,-0.0313260816038|-0.0886877849698|1.78698956966,0.614695489407|0.329749584198|1.64448845387,-104.0,2,-153.0,2,-145.0,0,83.0,0
0.0425034277141|0.358686417341|1.9115190506,0.430687665939|0.346121311188|1.86643528938,-0.0312902331352|0.123856976628|1.91175246239,0.633217394352|0.260707706213|1.8351970911,-0.0330862812698|-0.0867017731071|1.78596055508,0.622245669365|0.492796778679|1.69892370701,-105.0,2,-159.0,2,-145.0,0,73.0,0
0.0426006652415|0.359006732702|1.91035926342,0.433324664831|0.34981289506|1.86428952217,-0.0311193540692|0.124803505838|1.9104269743,0.638607025146|0.300285100937|1.81945002079,-0.0348123200238|-0.0826130956411|1.78325867653,0.615018486977|0.546243309975|1.76044714451,-106.0,2,-167.0,2,-145.0,0,75.0,0
0.0426881276071|0.359236598015|1.91014063358,0.4351978302|0.352700561285|1.86416888237,-0.0303266905248|0.12601339817|1.91114521027,0.635576188564|0.370249629021|1.8342577219,-0.0353174358606|-0.0815885663033|1.78284478188,0.603281080723|0.576609313488|1.80274868011,-106.0,2,174.0,2,-145.0,0,87.0,0
0.0426726080477|0.359319120646|1.90997517109,0.433230310678|0.352082431316|1.85686838627,-0.0302149094641|0.126615822315|1.91129505634,0.633557260036|0.372099518776|1.83495366573,-0.0355582088232|-0.0813026502728|1.78280246258,0.5978333354|0.5808365345|1.81505286694,-106.0,2,173.0,2,-145.0,0,87.0,0
0.0441189408302|0.367038995028|1.90999639034,0.434720546007|0.356216907501|1.86049854755,-0.0299832839519|0.126599252224|1.91103589535,0.634854257107|0.377538174391|1.83677017689,-0.035682503134|-0.081139460206|1.78272283077,0.57884567976|0.598298668861|1.84162306786,-105.0,2,172.0,2,-145.0,0,82.0,0
0.0442993752658|0.366669416428|1.90726900101,0.43302077055|0.355372846127|1.85625505447,-0.0299140382558|0.126727178693|1.91044867039,0.632562935352|0.381188184023|1.8384718895,-0.0358436144888|-0.0808914899826|1.78245806694,0.569507300854|0.603739261627|1.8492950201,-105.0,2,171.0,2,-144.0,0,81.0,0
0.0445768721402|0.369238644838|1.90743267536,0.433005928993|0.355775982141|1.85639512539,-0.0301545504481|0.126694887877|1.90810585022,0.632401645184|0.382548540831|1.83886921406,-0.0360635071993|-0.0807026550174|1.78176283836,0.566160559654|0.604196190834|1.85083544254,-105.0,2,170.0,2,-145.0,0,81.0,0
0.044224306941|0.366639614105|1.9037283659,0.432976156473|0.35593739152|1.8564542532,-0.0306565221399|0.12676307559|1.90546941757,0.632372021675|0.382670193911|1.83926141262,-0.0360664129257|-0.0802196487784|1.77951645851,0.565445423126|0.603816628456|1.85041379929,-106.0,2,171.0,2,-145.0,0,81.0,0
0.0436254143715|0.36430567503|1.90070533752,0.433019191027|0.356094241142|1.85653138161,-0.031042162329|0.127253904939|1.90313184261,0.632550299168|0.381943702698|1.83906781673,-0.0356626585126|-0.0804281905293|1.77557182312,0.568408787251|0.593094646931|1.84665358067,-106.0,2,171.0,2,-144.0,0,80.0,0
0.0441101454198|0.366656213999|1.90093874931,0.433057665825|0.356183260679|1.85660338402,-0.0311746317893|0.127524316311|1.90053224564,0.632850348949|0.380150586367|1.83937585354,-0.0350973941386|-0.0804122984409|1.77225875854,0.57034188509|0.589518487453|1.84388506413,-106.0,2,172.0,2,-145.0,0,80.0,0
0.0444838218391|0.368460863829|1.90151321888,0.43305927515|0.356201410294|1.85660398006,-0.0310285333544|0.127439886332|1.89906144142,0.632928490639|0.379628449678|1.83918201923,-0.0348346792161|-0.0804981514812|1.77007210255,0.571029484272|0.587262511253|1.84218895435,-105.0,2,171.0,2,-145.0,0,80.0,0
0.0441747717559|0.367317050695|1.89914989471,0.433093577623|0.356249213219|1.85660600662,-0.0305483769625|0.127596512437|1.8972465992,0.633048593998|0.379068046808|1.83883666992,-0.0346152447164|-0.0804768279195|1.76776170731,0.571144580841|0.586243927479|1.8405687809,-106.0,2,172.0,2,-145.0,0,80.0,0
