LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.0495919585228|0.359994232655|1.89889073372,0.422015666962|0.327869951725|1.84215927124,-0.017150869593|0.10548043251|1.90415334702,0.474261671305|0.0805039703846|1.8359695673,-0.0337465964258|-0.0929810479283|1.8113681078,0.460723817348|-0.115396812558|1.74028110504,-100.0,2,-107.0,2,-152.0,0,-151.0,0
0.0495301634073|0.359907567501|1.89939689636,0.421940982342|0.32802143693|1.84224033356,-0.0171184856445|0.105236165226|1.90455365181,0.474326252937|0.0804238170385|1.8358566761,-0.033676404506|-0.0931676179171|1.8117609024,0.460916727781|-0.115534171462|1.74032580853,-100.0,2,-107.0,2,-152.0,0,-151.0,0
0.0495834164321|0.359901100397|1.89956605434,0.421886444092|0.328261077404|1.8423281908,-0.0171756651253|0.105215072632|1.90495061874,0.47443190217|0.0805279761553|1.8356872797,-0.0336698368192|-0.0936159864068|1.81190299988,0.461276710033|-0.115974038839|1.74003553391,-100.0,2,-107.0,2,-152.0,0,-151.0,0
0.0495060607791|0.359896272421|1.89986479282,0.421834647655|0.328321933746|1.84229695797,-0.0172107219696|0.105182282627|1.90501606464,0.474476635456|0.0804766565561|1.83554184437,-0.0335886850953|-0.0939463600516|1.8119571209,0.461350947618|-0.116084702313|1.73994624615,-100.0,2,-107.0,2,-152.0,0,-151.0,0
0.0494295693934|0.360082089901|1.90077316761,0.42168405652|0.328605979681|1.84237730503,-0.0172149073333|0.104643650353|1.90529799461,0.474590092897|0.0804947316647|1.83535432816,-0.0336108468473|-0.0948579087853|1.81205713749,0.46163764596|-0.116279996932|1.73968505859,-100.0,2,-107.0,2,-152.0,0,-151.0,0
0.0494058653712|0.360061347485|1.90092134476,0.421485424042|0.328899383545|1.84228205681,-0.0174070131034|0.104498632252|1.90549647808,0.474853307009|0.0810621902347|1.83479344845,-0.0337989553809|-0.095318749547|1.81220519543,0.461739122868|-0.116730570793|1.73906230927,-100.0,2,-107.0,2,-152.0,0,-151.0,0
0.0492153204978|0.359978109598|1.90138077736,0.421387732029|0.329174309969|1.84226405621,-0.0175182037055|0.104409046471|1.9057161808,0.474871218204|0.081399217248|1.83451080322,-0.0340114198625|-0.0957772135735|1.81220459938,0.461891740561|-0.117259226739|1.73839855194,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0491756089032|0.359859883785|1.90165746212,0.420957386494|0.330010324717|1.84216320515,-0.017593069002|0.104319058359|1.90584182739,0.474983751774|0.0816524028778|1.83389902115,-0.0344539955258|-0.0961555615067|1.81203579903,0.462001800537|-0.117710910738|1.73772132397,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0489601232111|0.359863609076|1.90233421326,0.420684754848|0.330307453871|1.84201002121,-0.0177939925343|0.104793578386|1.90618741512,0.47514423728|0.0820092409849|1.83347296715,-0.0350664034486|-0.0964734554291|1.81187391281,0.462000250816|-0.118464797735|1.73689949512,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0487997531891|0.359889417887|1.90267503262,0.420168220997|0.331194728613|1.84182417393,-0.0181217119098|0.105223037302|1.90633511543,0.475109130144|0.0831741914153|1.8324483633,-0.0357818044722|-0.0969905257225|1.81121623516,0.462096601725|-0.11858407408|1.73632383347,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0487684234977|0.359809368849|1.90273725986,0.419680058956|0.331831991673|1.84131300449,-0.0181879997253|0.105225026608|1.90629589558,0.475096970797|0.0836099982262|1.83192622662,-0.0361586213112|-0.0971784368157|1.8109241724,0.462165206671|-0.118909031153|1.73485302925,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0488420799375|0.359748542309|1.90267550945,0.419420182705|0.332256823778|1.84104180336,-0.0181479714811|0.105320446193|1.90637695789,0.475438505411|0.0843095555902|1.83105874062,-0.0360679291189|-0.0973697975278|1.81073451042,0.462354451418|-0.118820138276|1.73410689831,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0490260645747|0.359659641981|1.90197193623,0.419052481651|0.332514226437|1.83976733685,-0.0179317835718|0.105108611286|1.90565061569,0.475480258465|0.0847637802362|1.82937180996,-0.035773023963|-0.0976560637355|1.80950391293,0.462434560061|-0.118399687111|1.73243093491,-101.0,2,-107.0,2,-152.0,0,-152.0,0
0.0490779690444|0.359657138586|1.90194499493,0.419061541557|0.332588940859|1.83964908123,-0.0177950263023|0.104922063649|1.90554964542,0.475747406483|0.0848608314991|1.82890331745,-0.0355783998966|-0.097501963377|1.80942356586,0.462700396776|-0.118301063776|1.73203492165,-101.0,2,-107.0,2,-152.0,0,-152.0,0
0.0492287576199|0.359714061022|1.90177190304,0.419127762318|0.332859754562|1.83941566944,-0.0174593385309|0.104774773121|1.90514457226,0.47592189908|0.0848130062222|1.82867133617,-0.0351838879287|-0.0976013466716|1.80915379524,0.462900608778|-0.118301130831|1.73182833195,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0492656379938|0.359736949205|1.90172457695,0.419142454863|0.332884162664|1.83926236629,-0.0174057558179|0.104746460915|1.90508306026,0.475939035416|0.0848605111241|1.82854652405,-0.0351324565709|-0.0975858643651|1.80891287327,0.462978959084|-0.118195414543|1.73176372051,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0496567040682|0.359707653522|1.90096008778,0.419263958931|0.332953304052|1.83904266357,-0.0171684529632|0.104835323989|1.9048320055,0.476179242134|0.0849504247308|1.82817423344,-0.0349366106093|-0.0973255336285|1.80863690376,0.463225185871|-0.117922447622|1.73155224323,-101.0,2,-107.0,2,-152.0,0,-152.0,0
0.0498261861503|0.359797209501|1.90074908733,0.419385820627|0.332964479923|1.83884465694,-0.0167929101735|0.104612924159|1.90395224094,0.476290255785|0.0849218070507|1.82792007923,-0.0344196595252|-0.0977053046227|1.80758023262,0.463271528482|-0.118154123425|1.73134613037,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0500441454351|0.360048025846|1.90036249161,0.419446796179|0.333009421825|1.83855092525,-0.0165187250823|0.104835569859|1.90334665775,0.476530045271|0.084550306201|1.8276913166,-0.0340188778937|-0.097973048687|1.80585694313,0.463362812996|-0.118209980428|1.73129832745,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0504230819643|0.360138207674|1.8994988203,0.419702649117|0.333034932613|1.83825337887,-0.0158916972578|0.105000011623|1.9019190073,0.476808011532|0.0843195095658|1.8272600174,-0.0338260345161|-0.0973671376705|1.80464375019,0.4635181427|-0.118151113391|1.7311681509,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0510648079216|0.360124737024|1.89871442318,0.420109629631|0.332972079515|1.83811223507,-0.015519884415|0.105132304132|1.90113866329,0.476949632168|0.0842713266611|1.82712686062,-0.0335206091404|-0.0966894030571|1.80308365822,0.463696867228|-0.118274323642|1.73105084896,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0516023784876|0.360216915607|1.89807593822,0.420461535454|0.332695126534|1.83776390553,-0.0150928823277|0.105545759201|1.8992562294,0.477147608995|0.0841488838196|1.82692730427,-0.0329753980041|-0.0960431918502|1.79959988594,0.463854044676|-0.118665881455|1.73079657555,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0520621426404|0.360154032707|1.89769613743,0.420641690493|0.332555085421|1.8376108408,-0.0148581117392|0.105668462813|1.89841389656,0.47728228569|0.0840194821358|1.82673597336,-0.0328059606254|-0.0958003178239|1.79842662811,0.463832587004|-0.119064725935|1.73069274426,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0523478835821|0.360219269991|1.89768517017,0.421297818422|0.332471191883|1.83797705173,-0.014590933919|0.105955660343|1.89814448357,0.477500736713|0.0837528780103|1.82683336735,-0.0324877947569|-0.0951595008373|1.79704141617,0.464081287384|-0.119234882295|1.73100781441,-100.0,2,-107.0,2,-152.0,0,-152.0,0
0.0530277788639|0.359915882349|1.8962649107,0.421767026186|0.332229077816|1.83740723133,-0.0145884929225|0.106701508164|1.89710366726,0.477566450834|0.0832845121622|1.82625150681,-0.0319641195238|-0.0931898057461|1.79192101955,0.464134544134|-0.119439855218|1.73049724102,-101.0,2,-107.0,2,-151.0,0,-152.0,0
0.0536988787353|0.359799265862|1.89630770683,0.422083973885|0.33208835125|1.83723247051,-0.0158663019538|0.111600853503|1.89954531193,0.477602511644|0.0832261964679|1.82625210285,-0.0351660363376|-0.0803105682135|1.78584718704,0.464201152325|-0.11936108768|1.73063051701,-101.0,2,-107.0,2,-147.0,0,-152.0,0
0.0546332672238|0.359811514616|1.89682865143,0.42260876298|0.332047849894|1.83672857285,-0.0189148783684|0.125438138843|1.91040372849,0.477790802717|0.0831173881888|1.82612729073,-0.0568346194923|-0.0336271189153|1.7737455368,0.46430850029|-0.119268797338|1.7306791544,-103.0,2,-107.0,2,-137.0,0,-152.0,0
0.0557840131223|0.359825819731|1.89814412594,0.422801434994|0.332291126251|1.83603405952,-0.0228480026126|0.146839648485|1.92661273479,0.478208482265|0.0830180495977|1.82577264309,-0.0870609357953|0.0280159637332|1.76033210754,0.464357584715|-0.119268372655|1.73067724705,-107.0,2,-107.0,2,122.0,0,-152.0,0
0.0563971698284|0.359552294016|1.90187335014,0.422150611877|0.333135008812|1.83436763287,-0.0278505943716|0.148613572121|1.93335449696,0.480530679226|0.0842387676239|1.82561504841,-0.110081657767|0.115702465177|1.71230077744,0.465738832951|-0.118384793401|1.72868871689,-109.0,2,-107.0,2,97.0,0,-151.0,0
0.0555191002786|0.359399825335|1.90795981884,0.420236498117|0.334522992373|1.83261871338,-0.0508859343827|0.148739635944|1.94547212124,0.494959264994|0.0976599901915|1.82624959946,-0.144161656499|0.209930971265|1.74525773525,0.481400847435|-0.104715324938|1.71217429638,-114.0,2,-111.0,2,79.0,0,-146.0,0
0.0549527108669|0.359905183315|1.91010797024,0.419605493546|0.335407972336|1.83263623714,-0.0772658661008|0.156927719712|1.94630241394,0.506609499454|0.108494907618|1.82612657547,-0.160510361195|0.265491634607|1.75109279156,0.503550767899|-0.08404006809|1.69107985497,-120.0,2,-115.0,2,72.0,0,-141.0,0
0.0496570728719|0.362165808678|1.91740632057,0.417308419943|0.337771952152|1.83300876617,-0.119143128395|0.194356799126|1.93765819073,0.531942129135|0.141536265612|1.82364499569,-0.174628794193|0.376601010561|1.7821444273,0.54339748621|-0.0417319759727|1.65713560581,-131.0,2,-124.0,2,65.0,2,-134.0,2
0.0420240946114|0.362619072199|1.92447161674,0.415310770273|0.341371834278|1.83452534676,-0.15030708909|0.228201821446|1.93707966805,0.551589071751|0.165909767151|1.8168489933,-0.174734219909|0.45146214962|1.81937241554,0.586706221104|0.0231833159924|1.64311873913,-141.0,2,-131.0,2,63.0,2,-130.0,2
0.0340130403638|0.362034440041|1.92945170403,0.412110000849|0.347450494766|1.83592379093,-0.167111188173|0.257362723351|1.93235445023,0.595309376717|0.181235581636|1.7830041647,-0.168732047081|0.524009525776|1.85060966015,0.612858295441|0.045744355768|1.6186593771,-148.0,2,-141.0,2,64.0,2,-130.0,2
