LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.164796024561|0.410193443298|1.46380710602,0.493776798248|0.381053477526|1.33700835705,0.0571291930974|0.188448607922|1.30740451813,0.602772712708|0.206271231174|1.28837561607,0.123767234385|0.244261473417|1.11115109921,0.518771290779|0.0510202944279|1.11551344395,-95.0,2,-129.0,2,-100.0,0,-120.0,0
0.168589785695|0.421889841557|1.43137180805,0.48561924696|0.381123304367|1.32101070881,0.0571238994598|0.194972679019|1.28546059132,0.594039738178|0.205577298999|1.27345860004,0.0848761126399|0.241049781442|1.07733333111,0.519981503487|0.0411448329687|1.10353505611,-96.0,2,-131.0,2,-106.0,0,-123.0,0
0.151105970144|0.405829370022|1.40878939629,0.477683037519|0.381710082293|1.30100119114,0.0798629596829|0.1662607342|1.3300858736,0.588075697422|0.202289164066|1.2609153986,0.0481141880155|0.188487261534|1.09465253353,0.519927620888|0.0277154315263|1.09234178066,-96.0,2,-127.0,2,104.0,0,-124.0,0
0.13194270432|0.391998410225|1.38645756245,0.47080886364|0.382103800774|1.27982878685,0.075254149735|0.188612699509|1.34204244614,0.585387945175|0.199002549052|1.25176310539,0.0071842931211|0.150889694691|1.07210433483,0.520678937435|0.0239379461855|1.09139049053,-99.0,2,-124.0,2,113.0,0,-123.0,0
0.123853184283|0.389910340309|1.37252819538,0.466215699911|0.381121665239|1.26599144936,0.0717550292611|0.184113949537|1.33726811409,0.583446860313|0.197151526809|1.24541497231,0.00912534538656|0.140660494566|1.07213616371,0.520710408688|0.0213416945189|1.08938658237,-99.0,2,-124.0,2,111.0,0,-122.0,0
0.112656600773|0.386835694313|1.35146617889,0.458748608828|0.379803538322|1.24807870388,0.0456968210638|0.186816588044|1.30466866493,0.577414214611|0.195165544748|1.22510004044,0.00998201407492|0.131847247481|1.08279085159,0.517092883587|0.0140455057845|1.07589614391,-103.0,2,-124.0,2,118.0,0,-124.0,0
0.0880852714181|0.380885720253|1.29822790623,0.435103833675|0.380951315165|1.20154309273,0.0297720730305|0.175468996167|1.28610157967,0.569036900997|0.196996822953|1.198341012,-0.00261958735064|0.100792482495|1.01168107986,0.509543299675|0.0109362108633|1.05556797981,-104.0,2,-125.0,2,110.0,0,-119.0,0
0.0685220882297|0.379415690899|1.25372338295,0.413402289152|0.384662538767|1.16437113285,0.0190965477377|0.173581972718|1.2668119669,0.554963171482|0.198813676834|1.17170715332,-0.0105108525604|0.0982932671905|1.00951373577,0.503488302231|0.00982303917408|1.03849232197,-105.0,2,-125.0,2,104.0,0,-119.0,0
0.0603756792843|0.38007864356|1.23690915108,0.40637871623|0.386608809233|1.15076971054,0.00236713187769|0.174265041947|1.22872900963,0.543551266193|0.199023395777|1.15397667885,-0.0342727154493|0.0848630294204|0.972495734692,0.502762973309|0.00901901163161|1.02768421173,-106.0,2,-124.0,2,113.0,0,-123.0,0
0.0319058001041|0.397790044546|1.15995264053,0.378949314356|0.39747685194|1.10081195831,-0.0316222794354|0.197181537747|1.18513083458,0.52587980032|0.196142777801|1.13264298439,-0.0699690431356|0.108899183571|0.915077626705,0.505811750889|0.00533626740798|1.02009403706,-108.0,2,-124.0,2,103.0,0,-125.0,0
0.0241764038801|0.402376383543|1.13374722004,0.37164413929|0.399667352438|1.09016740322,-0.022216277197|0.200301960111|1.1729221344,0.520147740841|0.195166483521|1.12617254257,-0.08191588521|0.138649404049|0.899353384972,0.507098853588|0.00461286911741|1.01912820339,-104.0,2,-124.0,2,94.0,0,-126.0,0
0.0185000486672|0.402637690306|1.11859452724,0.365715950727|0.401580899954|1.07975900173,-0.021216455847|0.192693740129|1.07836353779,0.514952540398|0.194658368826|1.11633777618,-0.0924885869026|0.147008180618|0.841271877289,0.510318100452|0.00420117471367|1.0154286623,-99.0,2,-124.0,2,114.0,0,-129.0,0
0.0123999109492|0.40389546752|1.10809218884,0.363078713417|0.404153376818|1.07478177547,-0.198455229402|0.209135994315|1.10764241219,0.511917471886|0.194345921278|1.10739028454,-0.0892680585384|0.156863093376|0.847729444504,0.513727962971|0.00322447740473|1.0084785223,-137.0,2,-124.0,2,-81.0,1,-132.0,1
0.00275400630198|0.406512826681|1.095916152,0.359575092793|0.403564959764|1.06956267357,-0.125042974949|0.2030916363|0.959192037582,0.506063997746|0.197095841169|1.08903253078,-0.0340860150754|0.161483749747|0.768528461456,0.517241120338|-0.00415105745196|0.981567263603,-115.0,2,-125.0,2,-113.0,1,-135.0,1
-0.00158433127217|0.418135553598|1.08682358265,0.350229859352|0.400216758251|1.05931353569,-0.108179993927|0.213424503803|0.96073192358,0.502896487713|0.197834596038|1.07949912548,0.0459138005972|0.220122873783|0.810957014561,0.51824426651|-0.00621230667457|0.970129847527,-109.0,2,-129.0,2,-91.0,1,-135.0,1
-0.0118826404214|0.454523980618|1.08955490589,0.34929266572|0.400160759687|1.05606985092,-0.0931966677308|0.246227741241|1.00166535378,0.502014636993|0.197600901127|1.07194685936,0.0257840622216|0.341575711966|0.851422488689,0.519967734814|-0.00759866321459|0.960968255997,-100.0,2,-135.0,2,-71.0,0,-136.0,0
0.0158679932356|0.368800163269|1.06033265591,0.339995056391|0.401416093111|1.0497481823,-0.14004547894|0.235096082091|0.98665779829,0.497897028923|0.205111786723|1.06435883045,-0.0154237467796|0.397018253803|0.882870614529,0.52090382576|-0.00582282058895|0.9572712183,-140.0,2,-123.0,2,48.0,0,-136.0,0
0.00554368458688|0.363712519407|1.06226682663,0.333370774984|0.401668250561|1.04575335979,-0.154744297266|0.26149135828|0.95269048214,0.495768338442|0.208873942494|1.06199896336,-0.0144502492622|0.404585838318|0.884915471077,0.521395266056|-0.00534312753007|0.956207692623,-139.0,1,-123.0,2,50.0,1,-136.0,1
0.00859761610627|0.365968585014|1.06129968166,0.330127298832|0.402801334858|1.04497766495,-0.141924083233|0.307883024216|0.911010503769,0.495115250349|0.21034064889|1.06010890007,-0.0102305263281|0.463351309299|0.871208846569,0.522227048874|-0.00433570425957|0.95398837328,-132.0,1,-124.0,2,60.0,1,-136.0,1
0.0121534233913|0.370242387056|1.05943894386,0.329633593559|0.402859270573|1.04465019703,-0.116460449994|0.335489660501|0.883080482483,0.494706481695|0.210907667875|1.05787265301,-0.00893684104085|0.505910038948|0.899050951004,0.522182404995|-0.00443001743406|0.951632082462,-124.0,1,-125.0,2,60.0,0,-137.0,0
0.0130420196801|0.371236383915|1.05960857868,0.32930546999|0.403039395809|1.04458165169,-0.101338937879|0.337967038155|0.873199224472,0.494744837284|0.211536601186|1.05696249008,0.0612447373569|0.46600022912|0.784906089306,0.522161483765|-0.00424562767148|0.950771391392,-119.0,1,-125.0,2,83.0,1,-137.0,1
0.00963611528277|0.312219798565|1.05824995041,0.330824315548|0.403457641602|1.04458248615,-0.0963498950005|0.310908049345|0.864014923573,0.495051026344|0.211906120181|1.05692207813,-0.035388994962|0.298852443695|0.657777905464,0.522579491138|-0.00283812964335|0.949332594872,115.0,1,-115.0,2,-135.0,1,-137.0,1
0.0129179339856|0.313214838505|1.05706465244,0.332754075527|0.402874618769|1.04417014122,-0.0912996008992|0.26705917716|0.867251873016,0.497642755508|0.21006283164|1.05703270435,-0.0267171170563|0.25889480114|0.661920547485,0.522557020187|-0.00389185757376|0.945866346359,-118.0,1,-115.0,2,-133.0,1,-136.0,1
0.0129640065134|0.313457071781|1.05718207359,0.333126306534|0.402371227741|1.04386973381,-0.092103369534|0.255522489548|0.871107876301,0.499157905579|0.209222793579|1.05677616596,-0.0225619506091|0.236098855734|0.668200433254,0.522385299206|-0.00456862943247|0.94411110878,-120.0,1,-115.0,2,-131.0,1,-135.0,1
0.0405238643289|0.437053591013|1.05766963959,0.334644883871|0.402070879936|1.04358172417,-0.0906568542123|0.232077986002|0.893031477928,0.501197516918|0.207189425826|1.05659461021,-0.0136624500155|0.20871040225|0.675632596016,0.521073281765|-0.00699039082974|0.937856674194,-110.0,2,-137.0,2,-117.0,1,-134.0,1
0.039745118469|0.43623945117|1.05777943134,0.336399435997|0.402138054371|1.04369020462,-0.088600486517|0.228309974074|0.894616961479,0.50152605772|0.206447154284|1.05634343624,-0.00853677373379|0.195724278688|0.67830312252,0.517997086048|-0.0115259662271|0.929762005806,-109.0,2,-136.0,2,-118.0,1,-133.0,1
0.0380668751895|0.434539407492|1.05812656879,0.337372153997|0.402297735214|1.04350054264,-0.0928788855672|0.219349250197|0.907904982567,0.501028597355|0.204616889358|1.05413711071,-0.00625480804592|0.186581239104|0.684089839458,0.51233869791|-0.0179924704134|0.923653066158,-110.0,2,-135.0,2,-114.0,0,-132.0,0
0.0371030084789|0.433421194553|1.05855953693,0.338082492352|0.402289003134|1.04326689243,-0.0917313843966|0.213743031025|0.919603943825,0.49967071414|0.201382696629|1.05006694794,-0.00683796778321|0.182124331594|0.69228887558,0.504592061043|-0.0262761339545|0.918516516685,-110.0,2,-135.0,2,-113.0,0,-132.0,0
0.036480370909|0.43271535635|1.0589735508,0.338657319546|0.402338653803|1.04283380508,-0.0919656977057|0.213537156582|0.919861316681,0.496576845646|0.197475790977|1.04314398766,-0.00774657446891|0.181095257401|0.696227729321,0.498424053192|-0.0359783023596|0.912733316422,-110.0,2,-133.0,2,-113.0,0,-134.0,0
0.0362445339561|0.432373344898|1.05937051773,0.339140713215|0.402481406927|1.04222369194,-0.0922008603811|0.21316345036|0.919673204422,0.494824826717|0.196941629052|1.03926575184,-0.00862660445273|0.180704206228|0.698861241341,0.495350748301|-0.0349432118237|0.91400128603,-110.0,2,-133.0,2,-113.0,0,-135.0,0
0.0361231192946|0.432125002146|1.05978810787,0.339575171471|0.402722120285|1.04139220715,-0.0925575792789|0.212800517678|0.917488276958,0.493717432022|0.196152195334|1.0347328186,-0.0101159010082|0.181085973978|0.701080799103,0.492954224348|-0.0337513498962|0.914334893227,-110.0,2,-132.0,2,-113.0,0,-136.0,0
0.0359238907695|0.431739270687|1.06040596962,0.339884966612|0.402839303017|1.04049217701,-0.0939144194126|0.210620269179|0.921183109283,0.493321597576|0.196219354868|1.03164982796,-0.012188971974|0.180838122964|0.704718410969,0.491510331631|-0.0322966091335|0.914585828781,-110.0,2,-132.0,2,-113.0,0,-137.0,0
0.0357192270458|0.431456625462|1.06078493595,0.340005755424|0.402847468853|1.04003798962,-0.0962003469467|0.209265559912|0.924372494221,0.493090599775|0.196202158928|1.03011262417,-0.0124100660905|0.180659070611|0.70488679409,0.490995675325|-0.0321003459394|0.914635241032,-110.0,2,-132.0,2,-111.0,0,-137.0,0
0.0347104072571|0.430099099874|1.06270182133,0.34026324749|0.402890950441|1.03852045536,-0.128886803985|0.213581055403|0.964059710503,0.493343859911|0.196250796318|1.02534556389,-0.0284949187189|0.1785710603|0.72730576992,0.490325719118|-0.0315036550164|0.914919376373,-118.0,2,-132.0,2,-101.0,1,-137.0,1
0.0343029275537|0.429064005613|1.06328058243,0.340220093727|0.402869492769|1.03776669502,-0.151086777449|0.239185154438|1.00536715984,0.493542462587|0.196265548468|1.02353358269,-0.0390597656369|0.180828198791|0.747851610184,0.490141183138|-0.0309667270631|0.915616631508,-127.0,2,-132.0,2,-94.0,1,-138.0,1
0.0339151099324|0.42782625556|1.06365966797,0.340131938457|0.402931392193|1.0371773243,-0.151839584112|0.237572461367|1.00273621082,0.493504703045|0.196202233434|1.02277064323,-0.0390454605222|0.177020713687|0.746056497097,0.48997220397|-0.0304199978709|0.916380047798,-127.0,2,-131.0,2,-95.0,1,-138.0,1
0.0336445085704|0.42723813653|1.06384658813,0.340077072382|0.40292480588|1.03691244125,-0.15169622004|0.235223650932|1.00610733032,0.493440806866|0.195948973298|1.02241694927,-0.0401066318154|0.175476327538|0.748726248741,0.489940673113|-0.0303228311241|0.916587650776,-127.0,2,-131.0,2,-94.0,1,-138.0,1
0.0330899879336|0.426105231047|1.06405282021,0.339944392443|0.403021991253|1.03654885292,-0.151780769229|0.230316147208|1.00811243057,0.493127733469|0.195626288652|1.02173447609,-0.0400744043291|0.165791645646|0.751936018467,0.489631682634|-0.0303012300283|0.917090415955,-127.0,2,-131.0,2,-95.0,1,-138.0,1
0.0324071459472|0.425186574459|1.06419861317,0.339796632528|0.403148174286|1.03628802299,-0.145847439766|0.209533244371|0.998552680016,0.492147833109|0.194946750998|1.02139282227,-0.0249398332089|0.132957860827|0.749834537506,0.489039450884|-0.0304362270981|0.917799711227,-123.0,2,-130.0,2,-98.0,1,-138.0,1
0.0182866640389|0.410830199718|1.06798934937,0.340860038996|0.40419203043|1.03349113464,-0.156273946166|0.221341997385|1.0294085741,0.48963752389|0.193472415209|1.02184784412,-0.0590492635965|0.152531474829|0.809638559818,0.487447291613|-0.0305881500244|0.92043608427,-129.0,2,-126.0,2,-94.0,1,-139.0,1
0.0155885927379|0.408293753862|1.06869113445,0.341349512339|0.404557615519|1.03158438206,-0.0991209149361|0.228395953774|1.02738952637,0.488571316004|0.193422347307|1.02180933952,-0.033053394407|0.13591696322|0.764198958874,0.487020015717|-0.0305060632527|0.920949578285,-120.0,2,-126.0,2,-109.0,0,-139.0,0
