LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.418208032846|0.385683894157|1.6251142025,0.629187464714|0.386790782213|1.3485417366,0.393327414989|0.118224196136|1.67570436001,0.669118463993|0.211454734206|1.23618710041,0.347522854805|-0.117330543697|1.61949467659,0.499597042799|0.410310268402|1.30608379841,-102.0,0,-122.0,0,155.0,0,-30.0,0
0.415553510189|0.385674506426|1.62765264511,0.628420054913|0.387603372335|1.34936845303,0.393630594015|0.120320536196|1.68103218079,0.706513047218|0.223960772157|1.24263286591,0.356815129519|-0.0738385468721|1.62993574142,0.502022922039|0.293171077967|1.2795548439,-102.0,0,-129.0,0,153.0,0,-47.0,0
0.414396733046|0.385183990002|1.63056445122,0.629911959171|0.387140601873|1.35104775429,0.395596981049|0.119741514325|1.68039488792,0.72041207552|0.231118604541|1.24378538132,0.358028620481|-0.0744695216417|1.63045608997,0.511967420578|0.217175677419|1.25877308846,-101.0,0,-132.0,0,154.0,0,-65.0,0
0.420314967632|0.385255634785|1.64620125294,0.632162451744|0.385570734739|1.35241520405,0.396739542484|0.115560285747|1.67993104458,0.728033721447|0.231298416853|1.24827432632,0.358452558517|-0.0786138251424|1.63079881668,0.471398174763|0.127195298672|1.25493133068,-99.0,0,-132.0,0,158.0,0,-81.0,0
0.420294851065|0.385255068541|1.6461417675,0.632167696953|0.385548919439|1.35242402554,0.398338973522|0.113528743386|1.6782194376,0.739672482014|0.228968292475|1.2527834177,0.357062906027|-0.123670220375|1.6186851263,0.553280770779|0.0994313359261|1.23659574986,-98.0,0,-132.0,0,159.0,0,-92.0,0
0.421379953623|0.384832382202|1.64621460438,0.632832944393|0.384810686111|1.35120916367,0.402358412743|0.112241759896|1.67448472977,0.744956552982|0.225842997432|1.25824856758,0.366268873215|-0.0984309315681|1.62954294682,0.592723548412|0.0711890459061|1.23003828526,-97.0,0,-131.0,0,161.0,0,-102.0,0
0.421240091324|0.384567797184|1.64577531815,0.632754504681|0.384742945433|1.35097694397,0.40339449048|0.111781321466|1.6732635498,0.746164083481|0.224196434021|1.259578228,0.372456967831|-0.0850771740079|1.63248002529,0.59864127636|0.0672138184309|1.22964179516,-97.0,0,-130.0,0,162.0,0,-104.0,0
0.420839399099|0.384097725153|1.64380729198,0.632253646851|0.384677350521|1.34995520115,0.404605507851|0.111218288541|1.67122483253,0.746661305428|0.222263664007|1.2605009079,0.375953644514|-0.0864005833864|1.63364005089,0.603748440742|0.0540900155902|1.22629511356,-97.0,0,-130.0,0,163.0,0,-107.0,0
0.421841472387|0.384226918221|1.6415104866,0.632769703865|0.382677018642|1.34228539467,0.40536364913|0.110905617476|1.66630995274,0.745922088623|0.219337075949|1.25874137878,0.375279396772|-0.0870088040829|1.63270545006,0.60279661417|0.0417680740356|1.22208082676,-96.0,0,-128.0,0,164.0,0,-109.0,0
0.423913478851|0.385110527277|1.63534975052,0.631625652313|0.381448119879|1.33554172516,0.405220448971|0.112261764705|1.66263115406,0.743165373802|0.217943161726|1.25543189049,0.364992707968|-0.110517263412|1.61364877224,0.602842032909|0.0379041694105|1.21902430058,-96.0,0,-128.0,0,161.0,0,-110.0,0
0.422755300999|0.387538075447|1.63260269165,0.630166530609|0.381722599268|1.33119189739,0.401728391647|0.114647172391|1.65912294388,0.741237938404|0.215742483735|1.25241267681,0.362922787666|-0.0814624205232|1.62182128429,0.59725856781|0.0225527323782|1.21143949032,-96.0,0,-127.0,0,163.0,0,-112.0,0
0.419620424509|0.39180341363|1.62819695473,0.629128336906|0.381521642208|1.3290245533,0.397408008575|0.119249127805|1.65666842461,0.737667858601|0.211370378733|1.25046110153,0.339562147856|-0.12478543818|1.60087203979,0.573165535927|-0.00792674720287|1.20740902424,-96.0,0,-127.0,0,160.0,0,-112.0,0
0.410775691271|0.391875505447|1.61986768246,0.627441108227|0.381380677223|1.32609903812,0.391599804163|0.120025128126|1.65339493752,0.733067750931|0.201983228326|1.24914038181,0.320837169886|-0.138272255659|1.59209144115,0.572762608528|-0.0202501490712|1.20581281185,-96.0,0,-126.0,0,157.0,0,-115.0,0
0.405394017696|0.391654342413|1.61732578278,0.62664604187|0.381151854992|1.3253878355,0.385544508696|0.120009198785|1.65178287029,0.657548069954|0.170181080699|1.26200175285,0.316453427076|-0.138836696744|1.59105110168,0.559122085571|-0.0329092219472|1.22053420544,-97.0,0,-110.0,0,157.0,0,-146.0,0
0.389356911182|0.385158121586|1.6050593853,0.624435961246|0.381902784109|1.32477974892,0.372859656811|0.115766637027|1.65045273304,0.725941419601|0.19249804318|1.25307869911,0.30532798171|-0.13669320941|1.58978188038,0.567669153214|-0.0304715950042|1.20613467693,-99.0,0,-123.0,0,155.0,0,-118.0,0
0.374534130096|0.384022533894|1.5983068943,0.619254231453|0.382430791855|1.32678353786,0.353921920061|0.114800639451|1.64365959167,0.721074819565|0.188596144319|1.258939147,0.292454957962|-0.101453840733|1.59349501133,0.569908618927|-0.0333978794515|1.20929312706,-100.0,0,-121.0,0,155.0,0,-120.0,0
0.352397233248|0.377158105373|1.59296131134,0.612288117409|0.382874161005|1.3349750042,0.330892920494|0.109018713236|1.64219164848,0.715573132038|0.184723123908|1.26701772213,0.271406590939|-0.100403510034|1.59450316429,0.571885347366|-0.0337959118187|1.21486055851,-101.0,2,-120.0,2,155.0,0,-121.0,0
0.332510173321|0.379983454943|1.59350049496,0.599711000919|0.380995124578|1.34287118912,0.303874731064|0.112090609968|1.64161169529,0.70531642437|0.181845590472|1.27977788448,0.255566388369|-0.0982208102942|1.58967471123,0.572307884693|-0.0348238423467|1.22038185596,-101.0,2,-121.0,2,155.0,0,-123.0,0
0.317178994417|0.380705624819|1.59528946877,0.601313233376|0.381755173206|1.34900200367,0.272210806608|0.114538356662|1.642111063,0.687533974648|0.177251547575|1.30015909672,0.224043875933|-0.0986815094948|1.58358108997,0.568753242493|-0.0375107452273|1.23199641705,-104.0,2,-115.0,2,155.0,0,-130.0,0
0.275568991899|0.387447535992|1.60443520546,0.565099537373|0.37834200263|1.37232458591,0.236739575863|0.117543190718|1.63864803314,0.669361352921|0.173307746649|1.32014119625,0.19408890605|-0.0887475386262|1.57835376263,0.567556977272|-0.0387927778065|1.24760961533,-99.0,2,-120.0,2,157.0,0,-129.0,0
0.259852975607|0.385759025812|1.60724592209,0.55724465847|0.377970129251|1.37897777557,0.222296252847|0.115349307656|1.63949453831,0.656388878822|0.172433495522|1.33508837223,0.176848679781|-0.0885458141565|1.57595455647,0.566080033779|-0.0370505414903|1.25656652451,-99.0,2,-118.0,2,156.0,0,-132.0,0
0.231696277857|0.385975003242|1.60980665684,0.539098203182|0.376620948315|1.39321887493,0.187378779054|0.117655344307|1.6374682188,0.637673020363|0.165361836553|1.35335719585,0.145353347063|-0.0896041765809|1.56731235981,0.559545695782|-0.0389299914241|1.27375912666,-100.0,2,-117.0,2,156.0,0,-135.0,0
0.201304584742|0.386494487524|1.61162471771,0.51969575882|0.375298023224|1.40883612633,0.154479876161|0.115909039974|1.63207960129,0.619104027748|0.166349619627|1.37651395798,0.12036523968|-0.0883829370141|1.55580949783,0.55046492815|-0.0441401451826|1.29246413708,-99.0,2,-117.0,2,-156.0,0,-136.0,0
0.174462482333|0.38555008173|1.61420559883,0.501298546791|0.375503927469|1.42605090141,0.132807403803|0.113445706666|1.63194131851,0.597758829594|0.155572384596|1.39944589138,0.102563381195|-0.0919651463628|1.55028486252,0.539231181145|-0.0521609447896|1.31274914742,-98.0,2,-115.0,2,-155.0,0,-139.0,0
0.139535143971|0.381592810154|1.61702680588,0.478722035885|0.372995615005|1.44974851608,0.0988415107131|0.113298162818|1.62609112263,0.575201094151|0.151322498918|1.43221485615,0.073279812932|-0.090474486351|1.54752242565,0.528653681278|-0.0658927559853|1.33963882923,-97.0,2,-114.0,2,-157.0,0,-141.0,0
0.125127881765|0.381958693266|1.61502933502,0.468916296959|0.372116088867|1.46185863018,0.0815007835627|0.113019756973|1.62347280979,0.560879230499|0.146736994386|1.45479679108,0.0568820796907|-0.0894299596548|1.54793727398,0.526784718037|-0.0674600228667|1.35642552376,-98.0,2,-112.0,2,-158.0,0,-142.0,0
0.115608498454|0.382086336613|1.61448860168,0.462313205004|0.372383326292|1.46926927567,0.0684923604131|0.115913972259|1.62405788898,0.553638935089|0.143569231033|1.46904754639,0.0404800698161|-0.084085457027|1.55188381672,0.526741683483|-0.0687917396426|1.36882853508,-99.0,2,-111.0,2,-158.0,0,-142.0,0
0.113038808107|0.382365822792|1.61439096928,0.460752993822|0.372688800097|1.47191739082,0.057363498956|0.120154447854|1.62346673012,0.548956274986|0.144121021032|1.4816712141,0.0285070389509|-0.0740922391415|1.55528926849,0.527271747589|-0.0695713832974|1.38183939457,-100.0,2,-110.0,2,-159.0,0,-142.0,0
0.104136116803|0.384207218885|1.61368227005,0.454813331366|0.373176038265|1.48145711422,0.0511938221753|0.123431019485|1.62238621712,0.545706033707|0.144229620695|1.48748517036,0.024415768683|-0.0719313547015|1.55494165421,0.527836859226|-0.0717480927706|1.38838994503,-100.0,2,-111.0,2,-159.0,0,-144.0,0
0.104453064501|0.383758872747|1.61331832409,0.455002486706|0.373351961374|1.48070037365,0.048332143575|0.125184834003|1.6209628582,0.544889688492|0.144113913178|1.4883223772,0.0219427011907|-0.0683863684535|1.55352699757,0.528525173664|-0.0731528326869|1.39284515381,-100.0,2,-111.0,2,-159.0,0,-144.0,0
0.10503796488|0.382794946432|1.61427390575,0.455513745546|0.373603075743|1.48008143902,0.0507081262767|0.124698273838|1.62362968922,0.545853078365|0.144735306501|1.4882941246,0.0241707377136|-0.0700164064765|1.55313956738,0.529301643372|-0.0726839154959|1.3974044323,-100.0,2,-111.0,2,-158.0,0,-145.0,0
0.106716349721|0.380646824837|1.61642861366,0.455949723721|0.37411493063|1.47857069969,0.0610923208296|0.122354909778|1.62957465649,0.55103302002|0.148612856865|1.48448193073,0.0384060814977|-0.0748734921217|1.55656170845,0.530232667923|-0.0710571855307|1.39827692509,-99.0,2,-112.0,2,-157.0,0,-144.0,0
0.111396938562|0.377175152302|1.62154948711,0.455867737532|0.37574467063|1.47335982323,0.0927503854036|0.118884921074|1.64732134342,0.565016329288|0.161838591099|1.46908092499,0.0659697130322|-0.0773967653513|1.5699723959,0.535124599934|-0.0668071508408|1.39654254913,-96.0,2,-115.0,2,153.0,0,-142.0,0
0.116434819996|0.373644053936|1.6256762743,0.456105679274|0.376549959183|1.46885693073,0.11391659826|0.102133788168|1.65818846226,0.574409008026|0.167975604534|1.45408391953,0.0837006494403|-0.086280696094|1.5828281641,0.54158192873|-0.0644901692867|1.39259374142,-94.0,2,-118.0,2,150.0,0,-141.0,0
