LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
-0.238653168082|0.36167499423|1.75845015049,0.134232327342|0.383576869965|1.80028140545,-0.324303597212|0.389133036137|1.53472673893,0.359591811895|0.407253086567|1.79558873177,-0.300844013691|0.463704764843|1.27328324318,0.577940702438|0.415580421686|1.73633289337,117.0,1,172.0,1,153.0,1,-166.0,1
-0.238826066256|0.362468779087|1.75825762749,0.134080454707|0.378869354725|1.80188155174,-0.324014544487|0.395656555891|1.52620315552,0.360932797194|0.406251579523|1.80008554459,-0.30155313015|0.460466474295|1.27209568024,0.578615784645|0.413400143385|1.74362754822,116.0,1,172.0,1,154.0,1,-165.0,1
-0.238763466477|0.362434983253|1.75837755203,0.135692998767|0.375073224306|1.80268251896,-0.32390281558|0.398272007704|1.52310419083,0.361328542233|0.405614882708|1.80172598362,-0.302897125483|0.463181763887|1.26663756371,0.579164206982|0.412360310555|1.74598455429,116.0,1,171.0,1,155.0,1,-165.0,1
-0.238761261106|0.36241838336|1.75843918324,0.135372564197|0.375203102827|1.80292105675,-0.325092792511|0.399169296026|1.52282571793,0.361512184143|0.405161201954|1.80221581459,-0.305218935013|0.465807706118|1.26507353783,0.579225361347|0.411449462175|1.74573457241,116.0,1,171.0,1,155.0,1,-165.0,1
-0.238850876689|0.362392485142|1.75854003429,0.135169431567|0.375279247761|1.80298793316,-0.330867916346|0.400841087103|1.52150297165,0.361412197351|0.404324144125|1.80133354664,-0.313568800688|0.464873105288|1.26737868786,0.578815042973|0.410017222166|1.74314498901,117.0,1,171.0,1,155.0,1,-164.0,1
-0.245186492801|0.365377575159|1.75397896767,0.131956070662|0.379255235195|1.80175852776,-0.342995226383|0.40222170949|1.52320384979,0.361547380686|0.402762502432|1.79899787903,-0.334385573864|0.467638283968|1.27609992027,0.578499555588|0.407395422459|1.73843801022,119.0,1,171.0,1,155.0,1,-164.0,1
-0.249848723412|0.368234544992|1.75453805923,0.13127656281|0.380125761032|1.8010661602,-0.362843930721|0.405267477036|1.53605771065,0.362023293972|0.400640875101|1.79540979862,-0.371698826551|0.461554557085|1.30038058758,0.577689826488|0.402983337641|1.72890162468,124.0,1,171.0,1,155.0,1,-164.0,1
-0.248229265213|0.367966324091|1.75870668888,0.132413744926|0.378693848848|1.80084979534,-0.388569414616|0.410613834858|1.57128584385,0.362842231989|0.398610442877|1.79185175896,-0.420364528894|0.450634926558|1.32582318783,0.578138947487|0.40046325326|1.72381126881,132.0,1,171.0,1,151.0,1,-164.0,1
-0.248312324286|0.368836909533|1.76219797134,0.133822470903|0.377403497696|1.80074572563,-0.431018024683|0.392695248127|1.59696030617,0.364471167326|0.396499633789|1.78949666023,-0.475136756897|0.441053241491|1.36359298229,0.579565167427|0.397675246|1.72063994408,143.0,1,171.0,1,143.0,1,-164.0,1
-0.248866051435|0.369534611702|1.76492297649,0.13514906168|0.376284599304|1.80049717426,-0.447914481163|0.401872247458|1.62141954899,0.365888029337|0.394927471876|1.78704357147,-0.531693398952|0.431089878082|1.39836347103,0.581067502499|0.395217388868|1.71850407124,148.0,1,171.0,1,147.0,1,-165.0,1
-0.249815046787|0.370210140944|1.76698625088,0.136424615979|0.375426262617|1.80014288425,-0.453389972448|0.444160819054|1.69530558586,0.367955893278|0.393404901028|1.78490018845,-0.586608052254|0.438289552927|1.44107758999,0.583091378212|0.392059266567|1.71617400646,156.0,2,171.0,1,-133.0,1,-165.0,1
-0.250710785389|0.370805263519|1.76875901222,0.137613326311|0.374788433313|1.79977941513,-0.456675767899|0.444647312164|1.70788836479,0.371554613113|0.39174425602|1.78443479538,-0.638350665569|0.439505249262|1.46769344807,0.586659908295|0.388784378767|1.71567559242,157.0,2,171.0,1,-139.0,1,-165.0,1
-0.256386250257|0.374105602503|1.77230322361,0.13877658546|0.374341666698|1.79940664768,-0.466437846422|0.444094896317|1.72594249249,0.371374338865|0.391472786665|1.78391849995,-0.649871468544|0.436922281981|1.47436237335,0.600308120251|0.385897427797|1.7099186182,160.0,2,171.0,1,-135.0,1,-165.0,1
-0.26004371047|0.376456052065|1.77452862263,0.139820560813|0.374091595411|1.79917180538,-0.470910966396|0.446130782366|1.74731123447,0.37134745717|0.390760034323|1.78337287903,-0.647378325462|0.435861825943|1.49070906639,0.601063907146|0.383728086948|1.7111685276,162.0,2,171.0,1,-129.0,1,-165.0,1
-0.262443482876|0.378702998161|1.77687263489,0.141208127141|0.373516201973|1.79866850376,-0.473414629698|0.448107987642|1.75484061241,0.374103963375|0.388457924128|1.78161549568,-0.647793471813|0.436630696058|1.49681782722,0.593940556049|0.380103945732|1.71457612514,162.0,2,172.0,1,-127.0,1,-166.0,1
